Denominazione,Comune,Tipologia Punto di interesse,Didascalia,Posizione,Indirizzo,Civico,Telefono,Email,Sito Web,Latitudine,Longitudine
Fermo - Cavalcata dell'Assunta,FERMO,Tradizioni,Cavalcata dell'Assunta,,Corso Cavour,32,0734.225924,info@cavalcatadellassunta.it,www.cavalcatadellassunta.it,43.1656,13.7242
Camerino - Corsa alla Spada,CAMERINO,Tradizioni,Corsa alla Spada,,Via Conti di Altino,9,0737.634702,corsaspada@camerino.sinp.net,www.corsaspada.it,43.1404,13.0688
Piandimeleto - Palio Dei Conti Oliva,PIANDIMELETO,Tradizioni,Città di Piandimeleto,,P.zza Conti Oliva,1,0722.721743,informazioni@paliocontioliva.it,www.paliocontioliva.it,43.7257,12.4145
Ascoli Piceno - Giostra della Quintana,ASCOLI PICENO,Tradizioni,Giostra della Quintana,,Piazza Arringo,8,0736.298223,ente.quintana@comune.ascolipiceno.it,www.comune.ascolipiceno.it,42.8554,13575
Corinaldo - Contesa del Pozzo della Polenta,CORINALDO,Tradizioni,Contesa del Pozzo della Polenta,,Via Tarducci,21,071.679043,staff@pozzodellapolenta.it,www.pozzodellapolenta.it,43.6494,13.0484
Offagna - Feste Medievali,OFFAGNA,Tradizioni,Feste Medievali di Offagna,,Piazza del Maniero,17,071.7107552,offagna@festemedievali.it,www.festemedievali.it,43.5278,13.4417
San Severino Marche - Palio dei Castelli,SAN SEVERINO MARCHE,Tradizioni,Palio dei Castelli,,Largo Croce Verde,,0733.634322,info@paliodeicastelli.org,www.paliodeicastelli.org,43.2292,13.1813
Sant'Elpidio a Mare - Contesa del Secchio e Città medioevo,SANT'ELPIDIO A MARE,Tradizioni,Contesa del Secchio e Città medioevo:  Sant'Elpidio a Mare,,Piazza Matteotti,5,0734.858218,info@contesadelsecchio.it,www.contesadelsecchio.it,43.2294,13686
Sarnano - Castrum Sarnani...il Medioevo che ritorna,SARNANO,Tradizioni,Castrum Sarnani...il Medioevo che ritorna - Una battaglia,,Via Gabella Nuova,270,334 7380216,castrumsarnani@gmail.com,www.castrumsarnani.org,43.0357,13.2991
Serra Sant'Abbondio - Palio della Rocca,SERRA SANT'ABBONDIO,Tradizioni,Città di Serra Sant'Abbondio,,C.so D. Alighieri,26,0721.730657,prolocossabbondio@virgilio.it,www.ssabbondio.it,43.4915,12.7721
Carnevale di Offida,OFFIDA,Tradizioni,Carnevale di Offida,,Corso Serpente Aureo,66,0736.889381,,www.inoffida.it,42.9367,13.7014
Campocavallo - Festa del Covo,OSIMO,Tradizioni,Festa del Covo a Campocavallo,,Via Cristoforo Colombo,128,071.7236088,iat@osimoturismo.it,www.osimoturismo.it,43.4837,13483
Le Infiorate,SERVIGLIANO,Tradizioni,Le infiorate,,Piazza Roma,2,0734.79124,,,43.0816,13.4931
Festa della Venuta della Santa Casa,LORETO,Tradizioni,Veduta interna della Santa Casa,,Corso Boccalini,32,071.750561,,,43.4403,13.6074
Treia - La Disfida del Bracciale,TREIA,Tradizioni,Veduta di Treia,,Piazza della Repubblica,2,0733.218750,franco.capponi@alice.it,www.disfidadelbracciale.it,43.3116,13.3125
Urbino - La Festa del Duca,URBINO,Tradizioni,La Festa del Duca ad Urbino,,Via Puccinotti,3,0722.309222,urbino.turismo@comune.urbino.ps.it,www.urbino-rievocazionistoriche.it,43.7275,12.6362
