Comune,Provincia,Categoria,Classificazione,Denominazione,CAP,Indirizzo,Gestore,Città,Località,Telefono,FAX,Cellulare,Indirizzo internet,Indirizzo di posta elettronica,Codice ISTAT,Numero struttura,Longitudine,Latitudine,,,,,
Acquasanta Terme,ASCOLI PICENO,ALLOGGI AGRITURISTICI,Agriturismi,AGRITURISMO IL ROCCOLO,63041,frazione Pomaro 15,CHRISTIANE DI BASILIO,ACQUASANTA TERME,ACQUASANTA TERME,736801251,736801251,3356138191,www.laterradellemeraviglie.it,agriturismo@ilroccolo.com,44001,1490,13.4124,42.7637,,,,,
Acquasanta Terme,ASCOLI PICENO,ALBERGHI,Alberghi 3 stelle,ALBERGO RISTORANTE TERME,63041,piazza Terme 20,Alessandro Cortellesi,ACQUASANTA TERME,ACQUASANTA TERME,736801263,736802700,,www.albergoterme.it,info@albergoterme.it,44001,11460,13.4113,42.7718,,,,,
Acquasanta Terme,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B ARIA PULITA,63041,corso Gregorio Schiavi 8,GIANFRANCO ALLIEVI,ACQUASANTA TERME,ACQUASANTA TERME,736802132,7360736,,,mauriall@yahoo.it,44001,123,13.4098,42.7694,,,,,
Acquasanta Terme,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B CUORE,63041,frazione Collefalciano 19,ANNA BUONAMICI,ACQUASANTA TERME,ACQUASANTA TERME,736801400,,3393246231,www.bb-cuore.it,info@bb-cuore.it,44001,121,13.4123,42.7997,,,,,
Acquasanta Terme,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B DI MALLONI FERDINANDO,63041,via bagno 10,FERDINANDO MALLONI,ACQUASANTA TERME,ACQUASANTA TERME,736801105,,3290528688,,,44001,15600,13.4094,42.7699,,,,,
Acquasanta Terme,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B IL CASTELLANO,63041,FRAZ. VALLECCHIA MONTECOLVO 14,IVO GUAIANI,ACQUASANTA TERME,ACQUASANTA TERME,,,3383834636,,ilcastellano@gmail.it,44001,18450,,,,,,,
Acquasanta Terme,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B LA PIAZZETTA,63041,piazza Emidio Collina 1,NICOLA POMPEI,ACQUASANTA TERME,ACQUASANTA TERME,,,347 0880798; 349 7001895,https://www.facebook.com/lapiazzettabb,lapiazzettabb@hotmail.it,44001,17532,,,,,,,
Acquasanta Terme,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B NEPI MARIA ASSUNTA,63041,frazione santa maria 115,MARIA ASSUNTA NEPI,ACQUASANTA TERME,ACQUASANTA TERME,736802527,,,,guaiani@itol.it,44001,62,13.4148,42.7777,,,,,
Acquasanta Terme,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B NONNA PIA,63041,frazione Favalanciata 5,MATTEO MATTEI,ACQUASANTA TERME,ACQUASANTA TERME,736341330,,3401267311,www.nonnapia.it,info@nonnapia.it,44001,15292,13.3683,42.7637,,,,,
Acquasanta Terme,ASCOLI PICENO,ALBERGHI,Alberghi 3 stelle,HOTEL ITALIA,63041,via del Bagno 59,FERRUCCIO FERRANTI,ACQUASANTA TERME,ACQUASANTA TERME,736801269,0712802409; 0712802413,736801268,www.termeacquasanta.it,info@termeacquasanta.it,44001,11930,13.4094,42.7705,,,,,
Acquasanta Terme,ASCOLI PICENO,ALBERGHI,Alberghi 3 stelle,HOTEL RISTORANTE IL PASSO,63041,via salaria 96,ENNIA TENAGLIA,ACQUASANTA TERME,ACQUASANTA TERME,736802755,736805154,,www.hotelilpasso.it,scrivimi@hotelilpasso.it,44001,11931,13.4113,42.7718,,,,,
Acquasanta Terme,ASCOLI PICENO,ALBERGHI,Alberghi 3 stelle,HOTEL RISTORANTE MONASTERO  VALLEDACQUA,63041,'Localita'' Valledacqua 18',VALERIANO FOSCI,ACQUASANTA TERME,ACQUASANTA TERME,736801078,736801078,3332269115,www.hotelmonasterovalledacqua.it,info@hotelmonasterovalledacqua.it,44001,15220,13.4349,42.7727,,,,,
Acquasanta Terme,ASCOLI PICENO,ALBERGHI,Alberghi 3 stelle,HOTEL RISTORANTE TRE LANTERNE,63041,frazione cagnano 1,SANTE TROIANI,ACQUASANTA TERME,ACQUASANTA TERME,736801386,736802580,,,info@trelanterne.it,44001,11461,13.42,42.7699,,,,,
Acquasanta Terme,ASCOLI PICENO,ALLOGGI AGRITURISTICI,Agriturismi,LA VALLE VERDE,63041,'localita'' Valledacqua 11',MARIA GRAZIA POLI,ACQUASANTA TERME,ACQUASANTA TERME,736802224,736802224,3396791287,,agrivalleverde@libero.it,44001,12490,13.4392,42.7747,,,,,
Acquasanta Terme,ASCOLI PICENO,OSTELLI PER LA GIOVENTU’,Ostelli,OSTELLO DI CAGNANO,63041,frazione Cagnano 1,,ACQUASANTA TERME,ACQUASANTA TERME,736801264,736491235,335-7486642,www.coloniacagnano.it,parrocchiasgennaro@libero.it,44001,14798,13.42,42.7699,,,,,
Acquasanta Terme,ASCOLI PICENO,ALLOGGI IN AFFITTO,Affittacamere,AFFITTACAMERE ELIA EMMA,63041,frazione San Martino 27,EMMA ELIA,ACQUASANTA TERME,CASADUNA,0736 807143,,,,,44001,16093,,,,,,,
Acquasanta Terme,ASCOLI PICENO,ALLOGGI AGRITURISTICI,Agriturismi,LAGA NORD,63041,via Umito 53,ASCENZIO SANTINI,ACQUASANTA TERME,loc.Umito,736804888,736804888,3495014291,www.agriturismo-laganord.it,agriturismo-laganord@libero.it,44001,14797,13.4083,42.7687,,,,,
Acquasanta Terme,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B ZEPPILLI DOMENICO,63041,via roma 1,DOMENICO ZEPPILLI,ACQUASANTA TERME,PITO,736804845,,,,,44001,176,13.4089,42.7689,,,,,
Acquasanta Terme,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B EMILIA MARILYN TROLI,63041,frazione Pozza 100,EMILIA MARILYN TROLI,ACQUASANTA TERME,POZZA,339 3915756,,339 3915756,,emily75t@live.it,44001,15291,13.4089,42.7689,,,,,
Acquasanta Terme,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B TOCCHI SESTILIA,63041,Fraz. Pozza 88,SESTILIA TOCCHI,ACQUASANTA TERME,POZZA,0736 802004,,338 3384472,,giulio_deangelis@libero.it,44001,15560,13.4089,42.7689,,,,,
Acquasanta Terme,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,'B&B DA TEMPERI''',63041,loc. Quintodecimo 2,MICHELA GENTILI,ACQUASANTA TERME,Quintodecimo,0736 802713,0736 802713,388 452382; 339 7869349,www.datemperi.com,biebidatemperi@libero.it,44001,16727,,,,,,,
Acquasanta Terme,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B VILLA SILVIA,63041,c.da Santa Maria 172,h,SILVIA PALANCA,ACQUASANTA TERME,Santa Maria,,0736 802258,334 9010551; 328 9694845; 377 2694134,silvia.palanca@libero.it,44001,17536,,,,,,,
Acquasanta Terme,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B VILLA FIORITA,63041,via roma 1,SANTINA CARINGOLA,ACQUASANTA TERME,STALLO,736256197,,3333397639,,,44001,12522,13.4089,42.7689,,,,,
Acquasanta Terme,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B TORRE COLOMBAIA,63041,frazione Cagnano 4,a,DOMENICO CARDI,ACQUASANTA TERME,,736802302,,339 4412392,torrecolombaia@virgilio.it,44001,174,13.42,42.7699,,,,,
Acquaviva Picena,ASCOLI PICENO,ALBERGHI,Alberghi 3 stelle,ABBADETTA RESORT,63030,via Abbadetta  36,FRANCO SPACCASASSI,ACQUAVIVA PICENA,ACQUAVIVA PICENA,735765070,735769044,392 6188972,www.abbadetta.it,sabrina-riccioni@hotmail.com,44002,11368,13.8262,42.9401,,,,,
Acquaviva Picena,ASCOLI PICENO,ALLOGGI AGRITURISTICI,Agriturismi,AGRITURISMO AQUA VIVA,63030,via santa caterina 8,PIETRO TROIANI,ACQUAVIVA PICENA,ACQUAVIVA PICENA,0735 765251,,340 6726094,www.agriturismoaquaviva.net,info@lapaesana.net,44002,14898,13.8099,42.9448,,,,,
Acquaviva Picena,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B ANGELOTTI SERINO,63030,via g. panelli 3,SERINO ANGELOTTI,ACQUAVIVA PICENA,ACQUAVIVA PICENA,0735 764500,,,,,44002,358,13.8116,42.9442,,,,,
Acquaviva Picena,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B CASA FILIPPO,63030,via Roma 33,A,ANTONIETTA BRAGHETTO,ACQUAVIVA PICENA,ACQUAVIVA PICENA,735594220,,3273110312,micio.elia@libero.it,44002,15520,13.8056,42.9453,,,,,
Acquaviva Picena,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B CIELO APERTO di IVEY CLARE,63030,via del cavaliere 44,CLARE IVEY,ACQUAVIVA PICENA,ACQUAVIVA PICENA,735764965,,3407004946,www.cieloaperto.com,clareivey@alice.it,44002,14907,13.8154,42.9449,,,,,
Acquaviva Picena,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B GIARDINO MEDITERRANEO,63030,via Carlo Alberto Dalla Chiesa 58,VALERIA BIANCONI,ACQUAVIVA PICENA,ACQUAVIVA PICENA,0735-764678,338 8407516,345 6000910,www.giardinomediterraneo.altervista.org,bbilgiardinomediterraneo@outlook.it,44002,17168,,,,,,,
Acquaviva Picena,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B LA CASA DEL MELOCOTOGNO,63030,contrada Forola 17,MARIA PAOLA BRUCIAPAGLIA,ACQUAVIVA PICENA,ACQUAVIVA PICENA,735764826,,3337934248,www.lacasadelmelocotogno.it,info@lacasadelmelocotogno.it,44002,15394,13.8035,42.9439,,,,,
Acquaviva Picena,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B LA LUNA E LA FORTEZZA,63030,contrada S. Maria in accubitu  14,MARIA ANTONIETTA WINKLEY,ACQUAVIVA PICENA,ACQUAVIVA PICENA,,,3281923066,www.lalunaelafortezza.com,info@lalunaelafortezza.com,44002,13648,13.8197,42.9229,,,,,
Acquaviva Picena,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B MAMMA GINA,63030,cda valle apparignano  16,GINA MARCHETTI,ACQUAVIVA PICENA,ACQUAVIVA PICENA,735764300,735764300,3683377394,www.mammagina.info,gina.marchetti@tin.it,44002,350,13.8035,42.9439,,,,,
Acquaviva Picena,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B MARIA ROSA SCICOLONE,63030,via G.Panelli 3,MARIA ROSA SCICOLONE,ACQUAVIVA PICENA,ACQUAVIVA PICENA,735764500,,,www.bbmari.it,maribb@gmail.com,44002,357,13.8116,42.9442,,,,,
Acquaviva Picena,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B SANTA CATERINA,63030,contrada Santa Caterina  21,GIOVANNA CALABRESI,ACQUAVIVA PICENA,ACQUAVIVA PICENA,735765114,,3382214536,www.bbsantacaterina.it,info@bbsantacaterina.it,44002,138,13.8099,42.9448,,,,,
Acquaviva Picena,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B VERDEMARE di MARZETTI ANTONELLA,63030,C.da Casarica 29,ANTONELLA MARZETTI,ACQUAVIVA PICENA,ACQUAVIVA PICENA,735764791,,3492106463,,info@bb-verdemare.com,44002,14896,13.8111,42.9442,,,,,
Acquaviva Picena,ASCOLI PICENO,TURISMO RURALE,Country House,COUNTRY HOUSE LA FOROLA 1923,63030,,NICOLINO CAMELI,ACQUAVIVA PICENA,ACQUAVIVA PICENA,,,+39 336732674,,nicolinocameli@gmail.com,44002,14899,13.8125,42.9447,,,,,
Acquaviva Picena,ASCOLI PICENO,ALBERGHI,Alberghi 3 stelle,HOTEL RISTORANTE IL GRILLO,63030,contrada colle in su 29,LUIGI FRANCESCO TORQUATI,ACQUAVIVA PICENA,ACQUAVIVA PICENA,0735 583285,0735 582989,,www.hotelilgrillo.it,info@hotelilgrillo.it,44002,11369,13.8341,42.9527,,,,,
Acquaviva Picena,ASCOLI PICENO,ALBERGHI,Alberghi 3 stelle,'HOTEL RISTORANTE O''VIV',63030,via Marziale 43,'RENEE'' ADRIANNE STRANGE',ACQUAVIVA PICENA,,735764962,735769003,,,oviv.acquavivapicena@gmail.com,44002,16756,,,,,,,
Acquaviva Picena,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B DELLA TARTANA,63030,via della Tartana 17,LETIZIA SPADON,ACQUAVIVA PICENA,,,,3899652259,www.bbdellatartana.it,info@bbdellatartana.it,44002,16846,,,,,,,
Acquaviva Picena,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B IL COLLE,63030,'via dell''Ornato 15',GIORGIO GASPARRINI,ACQUAVIVA PICENA,,,,347 1435043,,gasparrini.giorgio@virgilio.it,44002,17702,,,,,,,
Acquaviva Picena,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B LE ANTICHE VOLTE,63030,'VIA DELL''ORNATO 32',ORNELLA RABITTI,ACQUAVIVA PICENA,,0735 764050,0735 764050,3498482276,www.leantichevolte.com,info@leantichevolte.com,44002,15759,,,,,,,
Acquaviva Picena,ASCOLI PICENO,BED & BREAKFAST,BedBreakfast,B&B SEIGNEUR HILL,63030,contrada abbadetta 79,FRANCESCO BARRA,ACQUAVIVA PICENA,,,,348 7434398; 349 2518808,www.bbseigneurhill.it,info@bbseigneurhill.it,44002,15742,13.7995,43155,,,,,
Agugliano,ANCONA,BED & BREAKFAST,BedBreakfast,B&B LA CAPINERA,60020,contrada Noci 7,ROBERTA LOMBARDI,AGUGLIANO,'frazione Castel d''Emilio',71907992,,3337760841,www.laterradeicastelli.it,robertacapinera@hotmail.it,42001,16457,,,,,,,
Agugliano,ANCONA,ALBERGHI,Alberghi 3 stelle,AL BELVEDERE,60020,piazza Vittorio Emanuele II 3,MARIA LUISA BERARDI,AGUGLIANO,AGUGLIANO,71907190,71908008,,www.hotelalbelvedere.it,info@hotelalbelvedere.it,42001,11453,13.3865,43.5434,,,,,
Agugliano,ANCONA,BED & BREAKFAST,BedBreakfast,B&B LA CILICCHIA,60020,c.da Colonna 8,MASSIMO POSSEDONI,AGUGLIANO,AGUGLIANO,,,3339196228,www.lacilicchia.it,info@lacilicchia.it,42001,15890,,,,,,,
Agugliano,ANCONA,BED & BREAKFAST,BedBreakfast,B&B SOLE E LUNA,60020,c.da Colonna 12,ALESSANDRO CARESTIA,AGUGLIANO,,071 908333,071 908333,331 8139244; 3312161946,www.solelunabb.altervista.org,bb_soleluna@yahoo.it,42001,15788,,,,,,,
Agugliano,ANCONA,TURISMO RURALE,Country House,COUNTRY HOUSE LA CILICCHIA DI VESSELIZZA CHIARA,60020,via Contrada Colonne 8,CHIARA VESSELIZZA,AGUGLIANO,,,,3339196228,,vesselizzachiara@netoip.com,42001,17838,,,,,,,
Altidona,FERMO,ALLOGGI AGRITURISTICI,Agriturismi,AGRITURISMO LA VERGARA,63030,contrada svarchi 12,BENEDETTA ROSSI,ALTIDONA,ALTIDONA,734932094,734932094,3473410410,www.agriturismolavergara.it,info@agriturismolavergara.it,109001,14108,13803,43.1068,,,,,
Altidona,FERMO,BED & BREAKFAST,BedBreakfast,B&B LA CASA DI ANGELICA,63030,via Roma 19,BAMBINA LAURA CROTTI,ALTIDONA,ALTIDONA,734936616,734916242,340 1167761,,maurogiommetti@tin.it,109001,13437,13.7971,43.1086,,,,,
Altidona,FERMO,ALBERGHI,Alberghi 2 stelle,CAPRICE,63030,via Aprutina 43,GIOVANNI BULGINI,ALTIDONA,ALTIDONA,734932062,,,,,109001,11372,13.8362,43.1051,,,,,
Altidona,FERMO,TURISMO RURALE,Country House,IL CASALE,63030,contrada calcara 6,GABRIELE NUCCI,ALTIDONA,ALTIDONA,734936224,734936224,,www.ristorantecasalealtidona.it,info@ristorantecasale.it,109001,12065,13.7914,43.1059,,,,,
Altidona,FERMO,ALLOGGI AGRITURISTICI,Agriturismi,LA PIEVE,63030,Contrada Latrocella  11,CRISTIAN BORDONI,ALTIDONA,ALTIDONA,390734936452,390734936452,3336295114,www.agriturismolapieve.net,info@agriturismolapieve.net,109001,14016,13.7971,43.1086,,,,,
Altidona,FERMO,CAMPEGGI,Campeggi 4 stelle,MIRAGE,63030,"via Aprutina, c.da San Biagio 1",PAOLO PIETRACCI,ALTIDONA,ALTIDONA,73453390,73453497,,www.centrovacanzemirage.it,info@centrovacanzemirage.it,109001,3485,13.7971,43.1086,,,,,
Altidona,FERMO,CAMPEGGI,Campeggi 4 stelle,RIVA VERDE,63030,Statale Adriatica snc,BARNABA RUBICINI,ALTIDONA,ALTIDONA,734932012,734931979,,www.rivaverde.it,info@rivaverde.it,109001,3487,13.8361,43.1048,,,,,
Altidona,FERMO,BED & BREAKFAST,BedBreakfast,TENUTA BARBOLANO B&B,63030,Contrada Barbolano 9,Simona Savini,ALTIDONA,CONTRADA BARBOLANO,,,3457588466,www.tenutabarbolano.com,info@tenutabarbolano.com,109001,19129,,,,,,,
Altidona,FERMO,CAMPEGGI,Campeggi 3 stelle,GARDEN RIVER,63030,via Ottorino Respighi  snc,DAVIDE BERETTI,ALTIDONA,MARINA DI ALTIDONA,0734 932021,,324 7836588; 328 3584389,www.camping.it/marche/gardenriver,centrovacanzegardenriver@gmail.com,109001,15082,,,,,,,
Altidona,FERMO,STABILIMENTI BALNEARI,Stabilimenti Balneari,BAGNI MADAI,63030,,QUINTO SPINELLI,ALTIDONA,MARINA DI ALTIDONA,3205599542,,3205599542,,,109001,13115,,,,,,,
Altidona,FERMO,STABILIMENTI BALNEARI,Stabilimenti Balneari,RIVA VERDE 1,63030,via aprutina 75 75,BARNABA RUBICINI,ALTIDONA,MARINA DI ALTIDONA,734932012,734931979,,info@rivaverde.it,www.rivaverde.it,109001,13117,13.8368,43107,,,,,
Altidona,FERMO,STABILIMENTI BALNEARI,Stabilimenti Balneari,RIVA VERDE 2,63030,via aprutina 75 75,BARNABA RUBICINI,ALTIDONA,MARINA DI ALTIDONA,734932012,734931979,,info@rivaverde.it,www.rivaverde.it,109001,13118,13.8368,43107,,,,,
Altidona,FERMO,BED & BREAKFAST,BedBreakfast,'B&B ALL''INFINITO',63030,c.da Barbolano 31,MARIA JOLE TESEI,ALTIDONA,,,,335 8017017,,missjole@libero.it,109001,16928,,,,,,,
Altidona,FERMO,STABILIMENTI BALNEARI,Stabilimenti Balneari,MIRAGE,63030,,PAOLO PETRACCI,ALTIDONA,,73453390,73453497,,info@centrovacanzemirage.it,www.centrovacanzemirage.it,109001,13114,,,,,,,
Amandola,FERMO,BED & BREAKFAST,BedBreakfast,'B&B IL COLIBRI''',63021,Località Villa Scagnoli SNC,Francesca Di Iorio,AMANDOLA,AMANDOLA,,,3477894381,,francescadiiorio@hotmail.com,109002,19041,,,,,,,
Amandola,FERMO,ALLOGGI IN AFFITTO,Case ed Appartamenti per Vacanze,'SOCIETA'' AGROFORESTALE MARCHIGIANA SAN RUFFINO SRL',63021,,DUILIO NAZZARENO FILOMENI,AMANDOLA,AMANDOLA,0734 780250,0734 780250; 02 700535202,338 4841198; 339 7280624; 338 9463344,www.sanruffino.com,info@sanruffino.com,109002,4426,13405,43.0077,,,,,
Amandola,FERMO,ALLOGGI AGRITURISTICI,Agriturismi,AGRITURISMO ALTO TENNA,63021,Contr. Collicelli 10,PINO VITALI,AMANDOLA,AMANDOLA,,,,,,109002,13841,13.3587,42.9807,,,,,
Amandola,FERMO,ALLOGGI AGRITURISTICI,Agriturismi,AGRITURISMO DIMENSIONE NATURA,63021,C.da San Lorenzo 17,ROMUALDO TOSSICI,AMANDOLA,AMANDOLA,0736 848099,,333 2163287,,info@dimensionenatura.org,109002,16007,,,,,,,
Amandola,FERMO,ALLOGGI AGRITURISTICI,Agriturismi,AGRITURISMO I GELSI,63021,,MARCO SELANDARI,AMANDOLA,AMANDOLA,3664635054,,3936530538,,selandari.marco@libero.it,109002,12101,13.3587,42.9807,,,,,
